"ID","AgeRange","Job","ZipCode","Male"
1306,25,"clerical/admin","64068",1
1307,56,"retired","75703",1
1308,1,"K-12 student","75082",1
1309,25,"sales/marketing","76051",1
1310,45,"other or not specified","92866",1
1311,18,"K-12 student","90274",1
1312,25,"sales/marketing","60153",1
1313,18,"college/grad student","43214",1
1314,18,"college/grad student","68154",0
1315,35,"executive/managerial","75214",1
1316,50,"artist","50310",1
1317,45,"executive/managerial","98028",1
1318,18,"self-employed","94014",1
1319,25,"clerical/admin","98626",0
1320,25,"college/grad student","22030",1
1321,25,"sales/marketing","34639",0
1322,56,"other or not specified","94043",1
1323,35,"artist","11218",0
1324,35,"self-employed","07030",1
1325,25,"academic","75230",1
1326,25,"other or not specified","98115",0
1327,1,"K-12 student","12159",1
1328,35,"sales/marketing","60657",1
1329,18,"sales/marketing","60194",1
1330,56,"academic","95117",1
1331,45,"other or not specified","12065",1
1332,25,"executive/managerial","02840",1
1333,25,"technician/engineer","06460",1
1334,50,"executive/managerial","10805",1
1335,35,"other or not specified","14228",1
1336,50,"writer","95051",0
1337,56,"technician/engineer","97146",1
1338,25,"other or not specified","94108",1
1339,35,"tradesman/craftsman","85275",1
1340,25,"executive/managerial","14302",1
1341,18,"executive/managerial","11434",1
1342,35,"other or not specified","94560",1
1343,35,"sales/marketing","91324",1
1344,25,"homemaker","43420",0
1345,25,"artist","75070",0
1346,35,"writer","27607",1
1347,18,"academic","11375",0
1348,1,"K-12 student","04240",0
1349,50,"executive/managerial","13088",1
1350,35,"other or not specified","90278",0
1351,25,"technician/engineer","98034",0
1352,35,"writer","94122",1
1353,1,"K-12 student","95926",1
1354,25,"artist","94040",0
1355,45,"writer","04240",0
1356,18,"college/grad student","91706",0
1357,45,"other or not specified","34116",1
1358,35,"technician/engineer","49508",1
1359,35,"academic","10918",1
1360,25,"writer","14895",1
1361,25,"other or not specified","97401",0
1362,35,"programmer","75069",1
1363,50,"executive/managerial","01915",1
1364,45,"artist","97214",0
1365,1,"K-12 student","61665",0
1366,1,"K-12 student","89509",1
1367,25,"programmer","53707",1
1368,25,"clerical/admin","50266",0
1369,25,"customer service","12308",1
1370,35,"artist","92821",1
1371,50,"artist","60657",0
1372,1,"K-12 student","95123",1
1373,25,"academic","55104",0
1374,50,"academic","91403",1
1375,45,"customer service","95136",0
1376,45,"academic","32750",0
1377,35,"self-employed","65270",1
1378,45,"executive/managerial","21044",0
1379,56,"retired","93448",0
1380,1,"K-12 student","58078",1
1381,18,"lawyer","89170",1
1382,45,"academic","92100",0
1383,25,"executive/managerial","19806",0
1384,18,"K-12 student","98058",1
1385,25,"customer service","90262",0
1386,25,"other or not specified","07026",0
1387,50,"retired","94702",0
1388,56,"writer","87107",1
1389,25,"technician/engineer","19801",1
1390,35,"self-employed","99352",1
1391,35,"scientist","20723",1
1392,45,"clerical/admin","90006",1
1393,18,"college/grad student","06430",1
1394,25,"clerical/admin","94117",0
1395,25,"artist","07026",1
1396,25,"programmer","94530",0
1397,35,"executive/managerial","55901",1
1398,56,"self-employed","94904",0
1399,18,"technician/engineer","10804",1
1400,25,"executive/managerial","92130",1
1401,18,"academic","94578",0
1402,18,"college/grad student","90601",1
1403,25,"other or not specified","53713",0
1404,50,"self-employed","91360",1
1405,56,"retired","33445",1
1406,25,"college/grad student","91911",1
1407,35,"scientist","53704",0
1408,25,"other or not specified","90046",1
1409,18,"college/grad student","97215",1
1410,50,"executive/managerial","94404",1
1411,35,"academic","08107",1
1412,25,"technician/engineer","94089",1
1413,18,"clerical/admin","98122",1
1414,18,"college/grad student","85035",1
1415,45,"sales/marketing","22901",1
1416,25,"sales/marketing","98101",1
1417,35,"self-employed","10472",1
1418,18,"college/grad student","48197",1
1419,25,"academic","95336",0
1420,18,"college/grad student","01375",1
1421,1,"K-12 student","53704",0
1422,35,"technician/engineer","55934",1
1423,25,"college/grad student","08540",1
1424,35,"other or not specified","28209",1
1425,1,"K-12 student","08872",1
1426,18,"sales/marketing","94070",1
1427,25,"programmer","21401",1
1428,45,"lawyer","40204",0
1429,35,"clerical/admin","11229",0
1430,18,"college/grad student","97215",1
1431,56,"doctor/health care","91011",1
1432,35,"academic","94549",1
1433,18,"sales/marketing","49505",0
1434,1,"K-12 student","49532",0
1435,25,"sales/marketing","48103",1
1436,50,"doctor/health care","97005",0
1437,50,"clerical/admin","89102",1
1438,18,"artist","21222",1
1439,35,"clerical/admin","98037",1
1440,35,"programmer","94520",1
1441,35,"self-employed","54729",1
1442,18,"artist","12345",1
1443,35,"artist","98055",1
1444,25,"college/grad student","91106",0
1445,25,"artist","98109",1
1446,35,"programmer","10128",1
1447,18,"college/grad student","80521",1
1448,25,"clerical/admin","17522",0
1449,35,"writer","17112",1
1450,18,"college/grad student","94704",1
1451,35,"writer","90012",1
1452,56,"retired","90732",0
1453,25,"sales/marketing","19444",1
1454,18,"college/grad student","93117",1
1455,45,"other or not specified","92126",0
1456,25,"artist","98074",1
1457,25,"academic","95472",1
1458,1,"other or not specified","08055",1
1459,25,"other or not specified","80027",0
1460,18,"college/grad student","95132",0
1461,45,"other or not specified","94115",0
1462,35,"self-employed","95405",1
1463,50,"self-employed","92612",1
1464,35,"programmer","75063",1
1465,50,"self-employed","93003",1
1466,18,"college/grad student","29201",1
1467,25,"customer service","97007",1
1468,1,"sales/marketing","19147",1
1469,56,"writer","95420",1
1470,18,"college/grad student","94118",1
1471,25,"technician/engineer","11106",1
1472,25,"executive/managerial","90248",1
1473,25,"sales/marketing","06511",1
1474,25,"college/grad student","98115",1
1475,25,"artist","75075",0
1476,18,"other or not specified","91030",0
1477,45,"academic","90601",0
1478,1,"K-12 student","92620",1
1479,50,"artist","94501",0
1480,25,"writer","91367",1
1481,35,"technician/engineer","77096",1
1482,25,"executive/managerial","94132",1
1483,18,"college/grad student","54481",1
1484,25,"programmer","07054",1
1485,25,"homemaker","80538",0
1486,25,"self-employed","90638",1
1487,35,"executive/managerial","07644",1
1488,25,"executive/managerial","94538",1
1489,35,"artist","60201",0
1490,50,"executive/managerial","90505",1
1491,18,"college/grad student","06511",1
1492,25,"programmer","98102",1
1493,25,"sales/marketing","60657",0
1494,25,"technician/engineer","38104",1
1495,18,"other or not specified","77341",1
1496,25,"technician/engineer","94108",1
1497,50,"customer service","80220",1
1498,18,"college/grad student","02139",1
1499,1,"K-12 student","19343",1
1500,25,"technician/engineer","98115",1
1501,25,"lawyer","75801",1
1502,18,"college/grad student","12188",1
1503,25,"programmer","92688",1
1504,18,"unemployed","22030",1
1505,50,"lawyer","90041",1
1506,25,"executive/managerial","08550",1
1507,35,"technician/engineer","95476",1
1508,1,"K-12 student","94539",0
1509,1,"other or not specified","11803",1
1510,25,"academic","48067",0
1511,35,"programmer","08902",1
1512,25,"writer","11102",1
1513,35,"self-employed","95003",0
1514,18,"college/grad student","97215",1
1515,25,"self-employed","48324",1
1516,25,"programmer","53154",0
1517,18,"other or not specified","10002",1
1518,25,"artist","95831",1
1519,18,"college/grad student","38120",1
1520,25,"technician/engineer","94506",1
1521,25,"executive/managerial","08902",0
1522,35,"writer","10025",1
1523,25,"technician/engineer","95209",1
1524,18,"college/grad student","06459",1
1525,25,"self-employed","94706",0
1526,56,"technician/engineer","80538",1
1527,18,"K-12 student","78230",1
1528,25,"scientist","94903",1
1529,18,"college/grad student","97266",1
1530,25,"college/grad student","53711",1
1531,45,"technician/engineer","60462",1
1532,18,"sales/marketing","43613",1
1533,45,"academic","71711",1
1534,50,"programmer","12184",1
1535,18,"writer","90036",0
1536,35,"clerical/admin","83001",0
1537,18,"writer","02446",1
1538,25,"clerical/admin","22601",1
1539,25,"clerical/admin","02359",1
1540,45,"other or not specified","97214",1
1541,56,"technician/engineer","23464",1
1542,18,"technician/engineer","12054",1
1543,25,"lawyer","10549",1
1544,25,"programmer","63146",1
1545,25,"writer","20009",1
1546,25,"college/grad student","22903",1
1547,56,"retired","02115",1
1548,35,"academic","53703",1
1549,35,"doctor/health care","20901",1
1550,18,"college/grad student","11580",1
1551,25,"lawyer","20008",1
1552,45,"writer","10021",1
1553,25,"scientist","64116",0
1554,35,"programmer","17013",0
1555,18,"other or not specified","20008",0
1556,18,"college/grad student","48073",1
1557,18,"college/grad student","10039",0
1558,18,"doctor/health care","60611",1
1559,35,"farmer","10014",1
1560,25,"clerical/admin","85226",0
1561,18,"college/grad student","11214",0
1562,18,"writer","43611",1
1563,1,"K-12 student","87123",0
1564,50,"academic","01096",1
1565,45,"technician/engineer","78731",1
1566,35,"self-employed","77550",1
1567,25,"programmer","06511",1
1568,1,"K-12 student","94086",0
1569,56,"retired","07701",0
1570,18,"technician/engineer","75093",1
1571,25,"writer","98033",1
1572,25,"clerical/admin","02155",0
1573,1,"other or not specified","77479",1
1574,25,"doctor/health care","81007",1
1575,50,"executive/managerial","94949",0
1576,45,"homemaker","85202",0
1577,56,"other or not specified","72227",1
1578,18,"college/grad student","22201",1
1579,25,"other or not specified","60201",1
1580,18,"college/grad student","76201",0
1581,18,"college/grad student","10003",0
1582,18,"other or not specified","10705",1
1583,35,"doctor/health care","94115",1
1584,25,"unemployed","45701",1
1585,56,"writer","92315",1
1586,45,"executive/managerial","77351",1
1587,25,"clerical/admin","30308",0
1588,25,"lawyer","22043",1
1589,25,"other or not specified","95136",1
1590,35,"academic","95003",1
1591,50,"executive/managerial","26501",1
1592,35,"executive/managerial","50111",1
1593,25,"self-employed","78411",1
1594,35,"writer","10013",0
1595,35,"academic","92683",1
1596,18,"customer service","48108",0
1597,25,"programmer","10002",1
1598,35,"retired","76548",1
1599,25,"other or not specified","92646",1
1600,35,"executive/managerial","08234",1
1601,25,"programmer","83001",1
1602,25,"executive/managerial","10562",0
1603,25,"other or not specified","13326",0
1604,25,"lawyer","50111",1
1605,18,"other or not specified","28270",0
1606,35,"clerical/admin","55405",0
1607,45,"academic","02135",1
1608,25,"lawyer","75230",1
1609,35,"homemaker","06830",0
1610,25,"lawyer","55555",1
1611,25,"other or not specified","03867",1
1612,25,"technician/engineer","11354",1
1613,18,"writer","61801",1
1614,35,"other or not specified","90027",1
1615,45,"executive/managerial","10022",0
1616,25,"other or not specified","16101",1
1617,25,"programmer","44060",1
1618,50,"other or not specified","44139",1
1619,50,"clerical/admin","48843",1
1620,25,"writer","48009",1
1621,25,"college/grad student","11423",1
1622,18,"college/grad student","53715",1
1623,50,"scientist","07746",1
1624,25,"other or not specified","06810",1
1625,45,"other or not specified","04330",1
1626,18,"college/grad student","10010",1
1627,18,"technician/engineer","91505",1
1628,18,"writer","90028",1
1629,18,"college/grad student","10003",1
1630,45,"technician/engineer","91355",1
1631,50,"other or not specified","94514",0
1632,25,"self-employed","94120",1
1633,45,"executive/managerial","99701",0
1634,56,"other or not specified","38340",0
1635,25,"other or not specified","97212",1
1636,25,"unemployed","60612",0
1637,56,"other or not specified","90049",1
1638,18,"technician/engineer","95405",0
1639,25,"technician/engineer","95405",1
1640,35,"technician/engineer","95610",1
1641,25,"other or not specified","95819",1
1642,50,"retired","62002",1
1643,45,"artist","90813",1
1644,18,"programmer","90210",1
1645,18,"homemaker","62225",0
1646,25,"writer","90046",1
1647,18,"tradesman/craftsman","98118",1
1648,50,"sales/marketing","85202",1
1649,18,"unemployed","98034",1
1650,25,"unemployed","94607",1
1651,25,"programmer","94520",1
1652,25,"self-employed","98208",1
1653,18,"other or not specified","94044",1
1654,45,"other or not specified","94114",0
1655,18,"college/grad student","94507",1
1656,25,"technician/engineer","94122",1
1657,45,"other or not specified","10022",0
1658,35,"doctor/health care","94214",0
1659,18,"homemaker","99703",0
1660,25,"artist","94577",0
1661,35,"executive/managerial","80526",1
1662,25,"programmer","94121",1
1663,18,"college/grad student","77845",1
1664,18,"college/grad student","76707",0
1665,45,"technician/engineer","87505",1
1666,25,"sales/marketing","15241",1
1667,50,"self-employed","98516",1
1668,35,"artist","95602",1
1669,25,"technician/engineer","75006",0
1670,56,"retired","95320",0
1671,35,"other or not specified","98368",1
1672,25,"technician/engineer","93933",1
1673,1,"K-12 student","98043",1
1674,35,"artist","95816",1
1675,25,"doctor/health care","97116",0
1676,18,"college/grad student","91301",1
1677,18,"sales/marketing","97123",1
1678,18,"technician/engineer","97070",0
1679,25,"programmer","98052",1
1680,25,"writer","95380",1
1681,18,"college/grad student","78705",1
1682,25,"artist","98102",1
1683,25,"executive/managerial","98109",0
1684,18,"clerical/admin","85226",1
1685,35,"programmer","95833",1
1686,35,"programmer","94062",1
1687,25,"clerical/admin","85013",1
1688,18,"college/grad student","34243",0
1689,35,"customer service","98465",1
1690,35,"self-employed","98029",1
1691,25,"technician/engineer","85301",0
1692,35,"writer","97333",1
1693,25,"programmer","98684",1
1694,25,"programmer","98116",1
1695,25,"academic","97206",1
1696,35,"executive/managerial","95765",1
1697,18,"college/grad student","98052",0
1698,35,"artist","97214",1
1699,25,"unemployed","98102",0
1700,25,"writer","98119",1
1701,25,"college/grad student","97233",0
1702,18,"K-12 student","97303",1
1703,18,"scientist","77047",1
1704,25,"college/grad student","98926",1
1705,18,"college/grad student","85033",0
1706,25,"writer","19134",1
1707,50,"academic","95070",1
1708,25,"other or not specified","64106",1
1709,25,"other or not specified","73147",1
1710,18,"other or not specified","94530",1
1711,18,"college/grad student","30134",0
1712,25,"other or not specified","73003",1
1713,25,"other or not specified","47421",1
1714,25,"technician/engineer","43212",1
1715,25,"self-employed","53406",1
1716,25,"other or not specified","43229",1
1717,50,"doctor/health care","30307",0
1718,18,"college/grad student","43235",1
1719,18,"self-employed","60523",1
1720,18,"college/grad student","94720",1
1721,18,"unemployed","70043",1
1722,35,"other or not specified","72058",1
1723,35,"technician/engineer","60103",1
1724,18,"college/grad student","00961",1
1725,18,"unemployed","67218",1
1726,25,"artist","60160",1
1727,35,"self-employed","50317",1
1728,18,"college/grad student","11710",1
1729,25,"executive/managerial","53715",1
1730,18,"college/grad student","60137",0
1731,18,"other or not specified","91601",0
1732,18,"college/grad student","13655",1
1733,18,"sales/marketing","43725",1
1734,45,"technician/engineer","94602",1
1735,18,"writer","30605",1
1736,56,"farmer","00606",1
1737,35,"writer","46614",1
1738,35,"self-employed","30034",1
1739,56,"self-employed","77079",1
1740,56,"academic","96153",1
1741,35,"executive/managerial","91107",1
1742,25,"scientist","08109",1
1743,35,"technician/engineer","77566",1
1744,35,"programmer","50325",1
1745,45,"other or not specified","94114",1
1746,25,"college/grad student","33157",1
1747,25,"other or not specified","90638",1
1748,50,"academic","04240",1
1749,25,"artist","10040",1
1750,50,"customer service","10128",1
1751,35,"writer","77024",1
1752,25,"clerical/admin","96813",1
1753,35,"doctor/health care","90803",1
1754,18,"unemployed","27028",1
1755,18,"college/grad student","77005",0
1756,25,"academic","75149",0
1757,25,"college/grad student","75206",1
1758,25,"other or not specified","33067",0
1759,25,"self-employed","22112",1
1760,25,"clerical/admin","90016",0
1761,35,"other or not specified","72058",1
1762,25,"sales/marketing","75230",1
1763,35,"executive/managerial","76248",1
1764,18,"other or not specified","75149",1
1765,18,"college/grad student","13655",1
1766,45,"other or not specified","94566",0
1767,25,"writer","75205",1
1768,45,"self-employed","75067",1
1769,25,"technician/engineer","75240",1
1770,35,"self-employed","79605",1
1771,25,"technician/engineer","75044",1
1772,56,"artist","90680",1
1773,18,"college/grad student","07030",1
1774,25,"technician/engineer","99003",1
1775,25,"college/grad student","70115",1
1776,25,"other or not specified","45801",1
1777,25,"writer","17022",1
1778,18,"college/grad student","94704",1
1779,18,"academic","78133",1
1780,35,"academic","22181",1
1781,35,"other or not specified","08009",0
1782,45,"other or not specified","23454",1
1783,18,"college/grad student","10027",1
1784,18,"writer","18104",1
1785,18,"college/grad student","04901",1
1786,45,"academic","85721",1
1787,18,"farmer","90210",1
1788,45,"artist","19104",1
1789,1,"K-12 student","19116",1
1790,25,"other or not specified","19152",1
1791,18,"college/grad student","19146",1
1792,25,"artist","53523",0
1793,25,"college/grad student","20008",1
1794,25,"lawyer","20878",1
1795,18,"technician/engineer","20724",1
1796,50,"lawyer","20852",1
1797,35,"executive/managerial","52003",1
1798,45,"lawyer","22204",1
1799,35,"lawyer","70118",1
1800,18,"college/grad student","70118",1
1801,25,"doctor/health care","54729",0
1802,18,"college/grad student","22903",1
1803,25,"artist","50021",1
1804,25,"executive/managerial","22314",1
1805,18,"college/grad student","22401",1
1806,18,"college/grad student","22032",1
1807,18,"technician/engineer","20742",1
1808,18,"college/grad student","22031",0
1809,25,"sales/marketing","12189",0
1810,50,"retired","90210",1
1811,56,"artist","08825",1
1812,25,"programmer","48103",0
1813,35,"doctor/health care","90035",0
1814,50,"executive/managerial","10014",1
1815,1,"academic","30707",1
1816,35,"homemaker","56007",0
1817,35,"academic","53706",1
1818,1,"farmer","02254",1
1819,35,"programmer","45249",0
1820,25,"writer","50265",1
1821,25,"writer","43315",1
1822,25,"other or not specified","53713",0
1823,35,"academic","92801",0
1824,18,"college/grad student","43560",0
1825,25,"executive/managerial","50310",1
1826,45,"lawyer","49265",1
1827,25,"academic","07721",0
1828,18,"college/grad student","07030",1
1829,25,"self-employed","07302",1
1830,18,"college/grad student","12180",1
1831,18,"college/grad student","53190",1
1832,18,"college/grad student","14433",0
1833,18,"technician/engineer","07030",1
1834,35,"customer service","10990",1
1835,25,"unemployed","11501",1
1836,25,"other or not specified","10016",1
1837,25,"artist","08817",1
1838,35,"executive/managerial","10011",1
1839,18,"college/grad student","07940",1
1840,25,"programmer","11217",1
1841,18,"other or not specified","95037",1
1842,18,"college/grad student","53190",1
1843,25,"programmer","10014",1
1844,18,"college/grad student","53711",0
1845,25,"artist","10002",1
1846,45,"programmer","95051",1
1847,18,"college/grad student","60047",1
1848,35,"customer service","10011",1
1849,35,"executive/managerial","11747",1
1850,18,"customer service","12582",1
1851,25,"unemployed","59602",1
1852,25,"programmer","10036",1
1853,50,"other or not specified","90803",1
1854,25,"other or not specified","92346",1
1855,18,"college/grad student","93004",1
1856,56,"executive/managerial","92065",1
1857,1,"K-12 student","92106",1
1858,18,"college/grad student","59715",0
1859,25,"college/grad student","66049",0
1860,56,"self-employed","94591",1
1861,50,"self-employed","92129",1
1862,50,"sales/marketing","95129",1
1863,18,"college/grad student","90048",1
1864,35,"executive/managerial","94306",1
1865,18,"academic","94606",0
1866,25,"executive/managerial","94043",1
1867,50,"executive/managerial","95008",1
1868,50,"lawyer","92346",1
1869,45,"sales/marketing","95148",1
1870,56,"retired","85248",1
1871,45,"academic","46774",0
1872,50,"writer","92106",1
1873,35,"executive/managerial","02127",1
1874,45,"executive/managerial","95076",1
1875,35,"programmer","94107",1
1876,25,"programmer","92024",1
1877,45,"writer","90069",0
1878,1,"K-12 student","92846",1
1879,25,"college/grad student","29732",1
1880,35,"other or not specified","91006",1
1881,35,"artist","95008",1
1882,35,"self-employed","92352",1
1883,50,"other or not specified","94521",0
1884,45,"writer","93108",1
1885,50,"technician/engineer","94611",1
1886,25,"programmer","94086",1
1887,56,"scientist","92119",1
1888,35,"programmer","95124",1
1889,18,"sales/marketing","80023",1
1890,50,"doctor/health care","94702",1
1891,45,"academic","91335",1
1892,25,"writer","90066",1
1893,35,"other or not specified","90024",0
1894,35,"executive/managerial","94602",0
1895,35,"sales/marketing","89119",1
1896,56,"retired","92115",1
1897,50,"artist","94530",0
1898,25,"programmer","91101",1
1899,45,"doctor/health care","02135",0
1900,56,"programmer","94109",1
1901,50,"executive/managerial","94024",1
1902,25,"unemployed","93536",1
1903,35,"other or not specified","90401",1
1904,18,"academic","30115",1
1905,35,"writer","94118",0
1906,25,"customer service","91311",0
1907,35,"technician/engineer","94804",1
1908,56,"retired","95129",1
1909,18,"college/grad student","89146",1
1910,1,"K-12 student","94707",1
1911,18,"college/grad student","92805",0
1912,25,"college/grad student","91325",1
1913,25,"technician/engineer","95126",1
1914,35,"sales/marketing","95051",0
1915,50,"retired","01938",1
1916,45,"executive/managerial","90405",1
1917,18,"K-12 student","92704",1
1918,45,"doctor/health care","95209",0
1919,1,"other or not specified","94525",1
1920,35,"executive/managerial","80122",0
1921,56,"programmer","92780",1
1922,25,"executive/managerial","94303",0
1923,35,"executive/managerial","90026",1
1924,56,"doctor/health care","90630",0
1925,50,"executive/managerial","92886",1
1926,1,"other or not specified","95404",0
1927,35,"executive/managerial","94806",1
1928,1,"K-12 student","94501",1
1929,1,"K-12 student","91107",0
1930,25,"scientist","94550",1
1931,25,"artist","94114",1
1932,25,"executive/managerial","94114",1
1933,18,"unemployed","94703",1
1934,25,"technician/engineer","95014",1
1935,1,"K-12 student","90405",1
1936,35,"other or not specified","90026",1
1937,25,"lawyer","92335",1
1938,25,"artist","91351",0
1939,35,"artist","94930",0
1940,25,"programmer","95158",1
1941,35,"technician/engineer","94550",1
1942,35,"customer service","04901",1
1943,18,"college/grad student","91501",1
1944,18,"college/grad student","93107",0
1945,25,"writer","92866",1
1946,25,"sales/marketing","94110",1
1947,25,"executive/managerial","94041",1
1948,1,"K-12 student","93111",1
1949,18,"technician/engineer","92595",1
1950,25,"programmer","49024",1
1951,18,"college/grad student","90630",0
1952,35,"academic","91030",1
1953,25,"artist","94566",0
1954,25,"self-employed","91402",1
1955,1,"unemployed","03109",1
1956,35,"other or not specified","44280",1
1957,18,"college/grad student","23185",0
1958,25,"academic","17055",0
1959,50,"retired","53092",0
1960,45,"executive/managerial","55555",1
1961,50,"clerical/admin","91911",0
1962,18,"academic","60914",0
1963,50,"homemaker","91941",0
1964,25,"doctor/health care","89523",0
1965,56,"technician/engineer","48304",1
1966,25,"writer","93637",1
1967,50,"executive/managerial","92116",1
1968,25,"lawyer","85258",1
1969,25,"clerical/admin","92116",0
1970,50,"retired","89052",1
1971,25,"sales/marketing","80230",0
1972,45,"technician/engineer","92111",1
1973,25,"academic","22903",1
1974,35,"technician/engineer","12159",1
1975,18,"college/grad student","97361",1
1976,35,"customer service","58703",1
1977,56,"doctor/health care","02726",1
1978,1,"K-12 student","43357",1
1979,56,"technician/engineer","49506",1
1980,35,"executive/managerial","06460",1
1981,56,"academic","80303",1
1982,1,"K-12 student","80540",1
1983,25,"sales/marketing","92109",1
1984,18,"K-12 student","92130",1
1985,45,"programmer","92122",1
1986,50,"retired","91977",1
1987,25,"technician/engineer","62629",1
1988,25,"academic","85224",0
1989,50,"doctor/health care","02090",1
1990,25,"executive/managerial","85257",1
1991,25,"writer","48309",1
1992,18,"college/grad student","85259",1
1993,35,"technician/engineer","99508",1
1994,35,"artist","89012",1
1995,25,"academic","85364",1
1996,35,"other or not specified","85621",1
1997,25,"other or not specified","84108",1
1998,50,"homemaker","24018",0
1999,35,"clerical/admin","02113",0
2000,18,"college/grad student","44685",1
2001,50,"academic","48197",1
2002,56,"retired","02136",0
2003,1,"K-12 student","80014",1
2004,45,"unemployed","53572",1
2005,18,"college/grad student","58601",1
2006,35,"other or not specified","66048",1
2007,50,"self-employed","80442",1
2008,25,"clerical/admin","48220",1
2009,35,"executive/managerial","60625",0
2010,18,"college/grad student","81520",1
2011,35,"clerical/admin","01545",0
2012,25,"college/grad student","49456",1
2013,45,"other or not specified","60543",1
2014,18,"college/grad student","53233",1
2015,18,"college/grad student","01003",1
2016,56,"artist","20783",0
2017,25,"technician/engineer","35808",1
2018,35,"self-employed","46214",1
2019,50,"academic","27705",1
2020,25,"executive/managerial","45011",1
2021,25,"other or not specified","61364",1
2022,25,"executive/managerial","60137",1
2023,18,"college/grad student","56001",1
2024,1,"unemployed","06614",1
2025,56,"retired","03440",1
2026,50,"self-employed","49277",1
2027,25,"homemaker","48021",0
2028,45,"doctor/health care","44131",1
2029,25,"programmer","10011",0
2030,25,"college/grad student","77345",1
2031,35,"writer","60640",1
2032,50,"sales/marketing","44614",1
2033,45,"writer","91436",0
2034,45,"artist","01851",0
2035,18,"other or not specified","45212",0
2036,25,"sales/marketing","90046",0
2037,56,"sales/marketing","02468",1
2038,45,"academic","33301",0
2039,50,"self-employed","60060",1
2040,25,"executive/managerial","02494",0
2041,25,"writer","24015",0
2042,1,"K-12 student","79358",1
2043,25,"sales/marketing","37931",1
2044,45,"other or not specified","49408",0
2045,1,"other or not specified","24179",0
2046,35,"academic","91711",1
2047,1,"K-12 student","06437",1
2048,50,"doctor/health care","49456",1
2049,50,"other or not specified","13210",0
2050,35,"clerical/admin","99504",0
2051,35,"executive/managerial","93906",1
2052,1,"K-12 student","46033",1
2053,45,"lawyer","06416",1
2054,25,"programmer","03110",1
2055,50,"lawyer","49008",1
2056,25,"college/grad student","56301",1
2057,35,"academic","49417",1
2058,56,"academic","06437",0
2059,35,"other or not specified","44130",1
2060,1,"academic","48304",1
2061,56,"academic","44107",1
2062,18,"college/grad student","44646",1
2063,25,"college/grad student","43138",1
2064,35,"academic","01020",1
2065,25,"doctor/health care","46807",1
2066,25,"doctor/health care","53202",0
2067,50,"self-employed","06430",1
2068,35,"programmer","43528",0
2069,56,"scientist","79068",1
2070,35,"doctor/health care","13210",0
2071,45,"executive/managerial","01605",1
2072,50,"programmer","21133",0
2073,18,"college/grad student","13148",0
2074,18,"college/grad student","48197",1
2075,25,"college/grad student","13210",0
2076,18,"college/grad student","13165",1
2077,18,"other or not specified","55112",1
2078,18,"college/grad student","13323",1
2079,1,"K-12 student","45241",1
2080,25,"lawyer","37931",1
2081,18,"technician/engineer","49445",1
2082,1,"unemployed","48323",1
2083,18,"college/grad student","64920",1
2084,18,"college/grad student","23186",1
2085,18,"other or not specified","06360",1
2086,35,"sales/marketing","48328",1
2087,25,"other or not specified","37923",1
2088,50,"executive/managerial","60618",1
2089,35,"technician/engineer","17601",1
2090,35,"technician/engineer","48313",1
2091,35,"writer","48044",0
2092,56,"academic","49006",1
2093,18,"other or not specified","48322",1
2094,35,"artist","60061",1
2095,56,"retired","58504",1
2096,25,"technician/engineer","33990",0
2097,18,"customer service","48504",1
2098,35,"writer","48067",1
2099,18,"other or not specified","48823",0
2100,25,"other or not specified","24017",0
2101,25,"self-employed","48309",1
2102,25,"lawyer","48825",1
2103,35,"programmer","03062",1
2104,45,"scientist","60035",1
2105,25,"academic","24060",1
2106,18,"writer","49532",0
2107,25,"academic","24060",1
2108,1,"K-12 student","60462",1
2109,25,"self-employed","13090",1
2110,50,"lawyer","46802",1
2111,56,"retired","32806",1
2112,45,"programmer","23116",0
2113,25,"doctor/health care","04456",1
2114,18,"tradesman/craftsman","21740",1
2115,35,"technician/engineer","01519",1
2116,18,"college/grad student","49546",1
2117,56,"retired","49307",1
2118,25,"sales/marketing","02148",1
2119,35,"college/grad student","10036",1
2120,1,"other or not specified","02780",1
2121,56,"retired","02356",1
2122,35,"programmer","61614",1
2123,35,"other or not specified","13064",0
2124,25,"other or not specified","12306",1
2125,35,"clerical/admin","46033",1
2126,56,"sales/marketing","02632",1
2127,18,"college/grad student","12309",1
2128,45,"academic","46737",0
2129,25,"customer service","04103",1
2130,45,"other or not specified","03060",1
2131,25,"other or not specified","01701",1
2132,56,"sales/marketing","02632",1
2133,1,"K-12 student","01607",0
2134,18,"K-12 student","02780",1
2135,50,"academic","01778",1
2136,35,"tradesman/craftsman","13027",1
2137,1,"K-12 student","00681",0
2138,18,"college/grad student","88119",0
2139,50,"clerical/admin","33615",0
2140,45,"sales/marketing","46804",1
2141,50,"self-employed","48706",0
2142,45,"sales/marketing","46804",0
2143,18,"college/grad student","32607",1
2144,18,"other or not specified","46517",1
2145,18,"K-12 student","32750",1
2146,18,"artist","96002",1
2147,18,"other or not specified","60641",0
2148,18,"other or not specified","81301",0
2149,25,"other or not specified","60089",1
2150,18,"college/grad student","22904",0
2151,56,"retired","33316",1
2152,18,"college/grad student","22807",1
2153,18,"self-employed","97405",1
2154,25,"programmer","68508",1
2155,1,"K-12 student","50246",0
2156,18,"unemployed","55912",1
2157,18,"clerical/admin","45244",0
2158,25,"programmer","60618",1
2159,50,"sales/marketing","60618",0
